IDorder,IDuser,IDbike
607401,394481,382495
844752,773008,450421
102574,180596,986716
949132,234561,688068
306292,396091,169247
279006,959292,155206
937992,726904,757225
390685,531124,925517
594288,396207,384459
828525,687569,356773
986322,188905,574277
764882,715158,432113
258753,217051,664290
867717,168172,145213
594397,564014,221638
439919,180851,836439
461990,788262,415315
678054,802247,859500
857319,721798,804469
707155,209274,597325
158127,413598,327570
715763,199319,163414
914599,602856,412247
284292,183615,904122
774545,584565,405763
947629,756221,119892
412821,346604,534534
952166,910679,966333
229027,500543,763549
954612,536139,719293
775344,980065,527285
907046,141362,527262
416195,634532,555708
670898,968510,289813
108014,930826,774446
644479,333727,119730
687625,888413,975460
630771,550026,422595
526492,663727,857675
465029,329384,653397
630984,366821,847781
545346,587587,249633
960027,392557,747111
963169,409085,808879
303661,433691,405724
494535,131380,705531
244407,734625,996340
371025,290246,721406
387688,835960,275446
812738,913533,648955
482551,843712,138428
756169,377871,465146
366818,848533,466826
894253,742788,191461
287484,856097,898782
893038,420062,880794
804213,239595,394607
611854,442051,589648
267495,365814,463287
294060,408321,223349
836155,581786,567427
686837,180851,221677
277705,136767,593785
954884,858532,177978
491288,946265,710498
673042,585847,722578
293888,901635,153661
989283,249472,979857
660882,262901,874501
869086,771255,281158
147103,770119,456161
992458,320819,602564
701467,584565,998661
671425,304043,710294
733497,189764,975169
122437,371003,395477
904424,399282,631365
484629,632414,685801
416425,388488,535855
587261,730814,267216
375834,933845,255968
300502,180851,342914
688258,688374,319529
843734,553405,863900
201036,877514,531228
837949,854960,173167
980121,907976,662051
940282,101458,418417
256134,222574,595517
403850,968510,369522
440120,662460,222121
174676,222574,988734
812514,546646,527925
630017,272110,783531
821291,173130,498342
812556,186279,868001
900466,528598,528650
373476,881773,999051
511444,143076,113150
263634,690819,414013
655455,378752,330013
583591,677359,476794
895653,652926,663351
851036,621034,516640
491965,668779,928092
589224,341597,829304
369550,572319,352418
925681,392557,519031
898196,386300,501111
892731,742040,971605
276893,488421,852408
805235,140159,202509
249115,530075,121603
413606,180851,994929
228865,738579,326254
771751,163405,922532
481685,440830,310680
301689,195438,306828
194962,470211,249545
290243,125568,325636
313416,989998,111155
138703,473550,734044
503524,720426,806204
489371,724195,317051
962649,813859,198861
188801,454618,454118
520572,270388,586270
459715,693480,976257
426474,169166,828514
929474,347183,706340
962005,899232,555005
133395,464044,604288
493061,897005,376100
332904,870498,887061
338045,815322,764204
733455,681545,802243
687436,231342,414539
866089,535843,459155
194669,463470,975615
711916,195703,778600
481579,336522,197404
973721,650683,253941
408332,476679,113714
158139,155722,600408
809322,835960,734044
591900,785912,247379
592637,556097,808861
231169,134638,787240
150224,718914,779929
144078,210821,465373
929266,880717,757953
197951,834404,570039
313311,786543,464549
660575,112729,593183
864689,822290,604288
583674,760906,325412
718727,347641,936326
293212,465620,170656
516276,388625,685366
547433,595031,476175
558041,466645,735784
462389,926508,568831
751125,691293,126194
587912,988067,980789
963213,496814,265645
857587,634437,621602
718540,102400,308446
460436,279639,934680
527645,539387,779348
421190,134224,130803
603880,652926,340224
495785,678792,278662
705277,621034,996015
509354,858532,580864
992629,838441,556467
457398,605318,118573
626851,164798,943047
822359,467765,529595
981700,757665,780112
241289,977725,118861
396428,899232,694962
760928,787950,352894
392325,903715,561132
243742,924865,186834
493723,670832,818738
710059,636115,945722
294036,906205,455581
204756,274397,418417
791043,694763,140911
913767,717670,434677
882028,823246,678099
637401,602478,169499
419768,259764,284366
459186,195703,256682
935290,194965,541885
113503,508430,131055
235076,315991,236696
246465,133247,176831
843650,659659,936326
405227,812224,626147
815091,464044,540833
687993,605734,976257
265216,201970,652388
619452,659715,879772
923805,600579,875222
885504,261099,498342
875364,190195,955950
135080,883240,487380
887502,139448,320779
248466,625967,549099
418367,122677,932845
409670,555663,566411
749793,110492,976299
586443,500865,614679
479122,999218,369953
327034,426727,139258
870952,552488,277336
694089,257530,169274
479176,671604,679316
729515,752095,611513
370339,849124,294108
860773,927382,556791
270528,532924,203572
840750,705005,848373
423511,403847,883723
574252,662460,842557
146353,556097,746886
894729,644824,166766
348856,921477,781871
463560,488895,280666
465355,123221,154200
474750,683467,682793
706101,333727,161337
105264,553405,263719
111208,346604,380937
524618,181686,764546
907394,793769,649026
621324,207942,606886
307435,853008,892055
182223,369503,170733
834855,740698,585668
134732,413598,170066
895945,988067,999140
411981,151928,217867
142507,508430,546094
926029,937510,803416
254299,210821,767812
345974,569495,715016
341231,875051,764663
223453,878215,263719
678740,501081,982860
720964,167449,139176
892286,649598,941159
657112,549206,139399
898137,976620,243760
786807,602478,973493
156376,787949,656512
633232,125875,823276
138673,166462,977694
188275,945229,985279
706971,963843,468439
891582,779687,691245
754770,499236,894254
305921,130166,366560
291547,592871,846162
104045,123221,961891
306359,883240,228220
141634,829894,712610
454176,295533,570039
522542,615522,410624
637275,750571,447417
165847,412366,135543
548208,637140,322737
800961,844807,405724
309125,898532,605766
753215,712631,824355
523811,778400,687159
890099,896352,309163
285647,535843,125210
745454,668577,675929
465269,903612,624857
659920,671604,405724
128804,347183,509435
797411,670832,796837
965596,762989,617636
886669,182009,253454
211260,787562,828112
268798,213202,586774
571613,676980,800801
121682,454185,819272
835073,195438,426469
724407,771339,343763
865419,507716,570791
327058,380396,145213
741183,652622,520699
942702,740698,977278
921654,520295,866669
365873,429697,427351
454219,345142,627546
693292,761504,975947
420298,353889,623863
831006,667594,209519
829255,512099,324495
373196,384809,233551
723241,899783,550611
711275,162089,524021
854134,947418,983073
873835,943007,631109
283164,401437,558450
452799,744255,581504
197707,753241,277823
274180,539387,549099
317836,593853,734779
405351,479797,386272
464222,465085,614691
551263,650947,250165
971168,896329,376408
176940,568299,234232
675887,606499,536524
518532,599633,450440
213511,511814,894845
810221,508715,404747
833301,846370,442798
222969,552751,776563
956538,991467,491401
140378,493393,255968
555585,289659,705297
594386,666488,786421
993387,527937,631455
910478,379994,150049
899679,429743,169499
489498,990591,581008
784368,706192,947225
801266,522598,767083
991742,970781,462946
915598,484173,800239
893698,434991,425697
964057,704715,176411
109287,497523,431518
743594,645455,813525
739426,491155,794230
416146,260793,128572
506434,950423,302901
814462,349374,983627
231538,806330,268320
744395,248175,863530
113661,848533,370503
397474,679499,888507
996925,977284,644214
664916,540153,276189
921596,731818,766827
394710,134224,691955
670073,921477,975947
205761,318773,460647
961262,773008,186281
866198,795546,966988
966724,125568,909054
500578,678792,774495
119453,555012,774446
754474,162089,970340
850110,901635,734779
816429,979641,438995
759317,134224,573687
710322,352507,309518
562684,716277,514874
757876,386919,501275
147925,695820,534265
316763,653913,230921
447869,662519,894215
188414,399282,111427
832267,926508,399740
122702,139217,593542
216732,301935,922633
769953,169161,361566
663995,459327,462946
310887,415096,353707
133255,175865,354168
566221,440525,586774
113308,766336,501111
657014,837276,184147
126184,355029,179654
729942,329384,457310
226415,116181,806054
241410,975876,615242
166810,126551,975688
121283,553585,165448
199655,222574,699144
357919,117271,632445
995054,599914,167799
805693,500773,848113
475745,764785,112511
260558,943007,453655
289926,681021,523444
964872,250414,106310
983959,611548,183948
130106,909121,474911
610295,771377,642492
983007,716277,152144
315065,878215,267216
109451,166462,912539
839482,267986,806204
953717,800173,526411
839198,337498,486751
175971,216244,236696
414864,596385,796874
960607,808315,111427
471414,258639,100702
690548,846671,414879
633525,744255,122181
674318,183615,542476
354811,466775,559987
474360,521736,364461
680072,933845,923757
556919,376033,760868
244666,650683,153127
506470,859864,779348
394144,730814,615985
621789,295355,411530
389887,876090,188853
513415,130166,843873
434253,685417,894254
473456,249472,421727
373117,432434,964457
732058,311960,213285
378262,142718,908331
658894,634963,375033
492307,337498,614546
210207,232174,345757
923634,532587,952539
557741,560860,236696
245426,522922,195346
408429,117076,150113
160700,331941,407404
789213,261099,906059
554606,585847,872651
784263,630119,472781
615810,650947,689512
905788,116755,467727
917527,311960,103727
813313,389981,477274
613411,689664,795216
816813,600798,188334
373620,765012,898782
830032,119205,583220
733591,295345,423481
150166,812224,469595
819560,950423,504515
619166,681545,343886
367461,809586,446598
667547,655523,317121
315695,506159,564144
116382,130166,300836
908450,988635,563356
200755,376122,304774
242653,749748,730262
578169,717670,655138
101539,494540,696973
408954,914969,446996
651308,358106,534534
638413,816885,294108
706166,584565,580911
818775,959292,982571
596814,189017,800239
877802,210821,790263
162816,277275,976566
234695,348714,808861
571818,136140,968240
916219,414728,616003
764995,396050,838103
147603,257791,241052
926117,617579,862781
540511,541575,570977
671725,903612,668316
750510,932526,912068
553327,299654,484997
465449,852054,650430
259408,727812,117443
328606,629160,822937
711357,376033,467325
882163,658883,936076
493678,621061,170392
115211,737252,464896
682487,590953,804016
111041,371003,775165
598652,659123,511352
131279,163842,930280
525024,223534,359969
693556,954848,349816
814252,836446,482978
309654,320819,954348
149744,414728,390335
993333,568330,346935
965878,488316,465146
316733,267046,128696
448105,137675,940587
534584,664834,831783
579376,139448,433684
215667,959292,612994
314982,344360,809672
921413,455860,288883
700776,376033,477632
124696,686871,401471
637343,457845,847098
857629,924865,887061
540126,443827,562618
419174,470603,992225
929417,982294,947324
889033,320789,418775
873105,750089,655143
316572,185470,275109
387328,819268,274397
595988,431734,229635
951614,492605,221795
445524,164798,923603
578973,515094,374390
237486,428595,593183
364164,411430,694545
339759,223470,294108
862419,841238,431013
411623,433691,863888
707590,377606,465578
187857,173711,887321
893326,370170,819408
525137,383960,295323
342517,866853,934424
957046,913533,459155
680194,926077,754338
876318,973430,702078
481102,988635,913042
348928,215752,950998
375881,188971,324348
234870,652926,585668
743751,459597,143687
932472,851406,395477
211033,280862,669972
280175,854879,455581
602192,775297,869515
433002,637346,519381
389234,320942,985999
224096,973696,324495
785660,891126,403502
801420,592551,612450
322730,893703,998061
555602,822367,163769
833569,172744,413898
185540,789989,488371
476863,733759,749962
552959,114117,996015
318157,568249,880328
157656,338188,275905
162334,412366,984802
754882,325806,944450
595977,643422,862483
623052,611548,158980
318870,642407,227744
290936,788262,855179
719606,257621,363228
550192,349482,845273
932398,674508,552108
641941,362328,823028
709496,194928,551334
901604,575735,422814
341306,161676,453533
916104,637140,642229
728704,709224,716537
692168,541636,817999
689581,596125,609123
628275,956868,839610
992200,409492,848613
269293,839226,886489
636195,926077,525284
653423,454442,205322
685060,534374,445468
311933,838441,352418
326206,101002,709689
263468,366821,186998
707147,437633,312775
127289,812224,848174
875925,199940,269127
688251,352619,657630
909841,199319,823446
884802,250991,186744
932136,928776,559551
489295,922349,401091
709435,497523,184147
799834,779094,654353
917906,665333,775039
721350,307043,847098
104395,932708,391739
904992,609412,719717
120893,159641,478723
884155,985847,188126
838746,170156,711533
179502,975218,598188
156129,488895,416667
192913,580167,369665
640198,138709,598064
919168,948057,745050
552035,199319,972166
890335,513160,381630
950491,503828,414961
588148,538778,542047
737643,349277,990312
379548,754300,439776
257922,780361,557291
514234,495068,135291
934661,460185,126194
589612,491155,239180
478917,678792,702886
305722,457845,376100
117671,849124,126134
258804,590953,596259
706486,624083,720708
608123,876090,836439
714840,597453,455581
445951,344360,448591
854806,578206,125157
367055,253176,196821
581040,920041,219897
662387,650041,936310
857888,877694,830602
746819,387029,465373
896632,909780,432113
702200,511778,564144
135521,659659,133733
508713,100447,189159
218063,630119,143024
657704,486746,516304
762917,910679,479550
587909,576493,486751
688250,194928,773661
719198,134638,364461
534488,352619,303114
528597,226745,585668
565075,447224,749383
358878,424275,750484
899138,907976,851093
274790,405037,464992
565727,807186,686315
813347,730814,646543
963969,499236,870483
631016,987502,679206
662995,793769,989873
135519,251403,908911
600680,501081,884427
562741,119205,716537
606553,959292,327440
995853,322001,979426
441596,787950,463019
980698,738579,878291
759427,306990,594949
663162,808315,440936
373702,712631,471365
275686,926077,220549
620749,650947,727020
121728,712631,847250
701478,805752,953134
646594,111593,566986
595489,610528,677213
675930,327068,240792
893006,694645,992053
956056,650384,693511
856665,686219,619709
220191,181686,384778
965950,408807,982639
268219,650947,866669
710622,105981,494156
695150,755968,586647
104499,546446,207198
528126,847408,265379
635578,835987,405972
576151,132087,912380
352356,484795,603043
879236,605734,469241
523288,838859,138680
987042,116503,846694
101250,144596,482978
894772,629187,775326
160887,560342,741492
373452,830237,923603
944349,170950,686315
736589,465649,120444
464363,300320,961926
272726,901877,804283
220801,898265,674315
617620,258639,151288
193820,306749,358888
925055,569848,926411
823095,715868,682367
242739,947418,999140
268724,296105,828243
117887,880717,247986
120582,532924,798490
908202,759894,753837
258884,568330,923029
626807,351141,907780
996199,389981,780345
735858,374221,493845
909924,618473,348192
568157,611548,160591
276761,460185,302010
243865,849618,966254
992226,495068,944115
123232,133247,605766
308267,982308,955206
479901,479797,479928
547736,705005,493699
155762,737746,322786
103037,536776,253935
490190,592871,488371
493038,743089,736173
319291,200024,722578
804707,144625,414961
987768,658883,514896
249483,101002,710294
257746,751247,741032
165126,558559,634875
555150,104914,359223
833641,599050,249570
165650,386919,206469
357249,183615,819689
716391,456170,608648
644832,668779,251432
312631,928408,465292
369734,150145,655630
779619,797728,549368
711262,717123,145213
330965,834404,404366
211858,134638,607497
395304,617821,445048
224842,602478,810355
509641,345142,143353
433010,794394,577922
110259,472184,194668
796363,538778,185666
413020,693653,860753
466754,621061,139176
425976,415096,549368
963777,457005,963515
836026,591208,705998
448533,194965,507696
866302,941980,622023
484791,392557,109685
822599,296105,686014
279396,541575,937557
290682,840169,772932
484512,117076,525258
870911,933845,803836
392816,451094,746184
961314,716277,984802
287591,267046,777120
572630,891126,300882
882281,778614,684347
291082,181931,532585
601060,231342,331352
634525,132087,156142
750948,365875,877761
162573,306749,354372
780832,184815,846694
788352,506159,574494
243520,674508,183139
322041,296105,822264
603968,491164,748355
950790,239275,979857
839458,189017,991166
307686,532575,143776
654551,956868,860753
824704,426727,803199
542074,138514,847098
962368,212164,299697
665986,154520,403298
691872,642147,285556
997796,272110,507696
177168,380197,469595
229835,527937,586752
688779,976620,620120
284480,730814,347592
134915,883858,808716
573443,248175,198797
395720,596125,611513
680993,584248,332884
852181,495775,486142
973163,141837,574677
499384,891075,873695
560599,481546,891733
193188,950423,165307
314748,116181,351921
685951,880484,309163
617054,516176,340526
295058,903612,843873
127604,988067,735788
332072,134178,694545
428777,169166,775039
875122,251414,441781
463303,197956,170135
683676,105197,545284
429479,242041,244815
476935,579277,949633
280571,572319,403502
565293,985847,439703
871826,522582,724300
339034,908120,249570
865446,175724,811759
940375,653913,456161
426496,991467,776924
781591,148337,747253
756740,913532,631518
885581,522598,160121
171860,838859,876895
811602,748561,847781
337020,408775,990312
919443,508715,798727
639743,669953,558450
212363,932708,649714
737058,487549,545847
635378,253567,356995
338032,858490,180718
814919,798377,892837
113822,759829,874239
950845,842344,851608
804425,606499,371912
432390,841238,503071
173691,315682,188204
921255,271327,792058
107840,182596,482987
386012,397489,694816
914634,183615,449069
344858,560860,940587
780055,194965,776924
226223,634437,113341
903063,602856,196000
162196,349277,594949
162527,954848,937832
432515,610406,916652
592714,648365,948096
243767,196808,145724
418139,219974,123935
516095,947069,907780
647580,251040,365779
531502,409492,284291
899825,181931,583820
814258,778179,184169
231066,166462,995241
291856,801777,415263
556276,331616,865313
444471,213362,931308
407996,891126,204927
866749,315682,510280
304293,990622,628169
732698,641485,523351
553350,199940,604881
801892,841238,826423
987392,495800,121099
729294,335392,570887
410981,625058,459657
241161,899232,473171
743510,649171,735788
660685,193897,187084
725054,691584,473742
673399,575364,448591
512584,214840,362951
669644,523799,278672
847099,985847,198657
322638,496814,131055
566491,424391,601793
988990,212358,971605
993895,344056,685801
742134,749748,408892
657607,602257,240388
409629,525746,685209
562682,240096,572108
841255,641485,848260
121280,752582,808461
888878,457845,960203
185760,247222,800239
775897,691584,932845
461256,238639,574677
144393,287781,994929
882429,434991,744366
875322,670022,873171
211717,896384,225430
648195,838859,691190
734740,558855,403298
576991,154140,423326
945738,883240,275905
182458,529747,878950
250538,731818,658950
300505,166462,719020
449363,946265,726544
261732,839226,323703
460468,694645,971605
377311,521736,373418
149041,742788,634875
239526,770301,903259
802592,263479,285822
830747,569261,260855
624427,210580,581345
368002,614022,442187
689516,654045,877761
295834,875051,208807
151914,479773,408230
163483,244919,931060
432737,486508,431768
888964,674508,418417
517577,718914,236696
705265,195438,625815
299981,444041,693751
781168,876847,550360
317272,371366,179000
289162,544796,991494
754983,123221,124948
151323,430907,509604
458016,465649,763859
121557,621034,417915
407854,296661,594853
577354,891126,121603
149082,574886,975078
765224,103494,113935
328035,491419,106999
633343,237008,540861
370380,338188,620397
884067,770380,873015
192385,780031,869486
735133,569261,443403
255335,800877,900841
535740,488316,983970
807751,637140,649714
532230,250991,430210
390015,568249,723693
552412,144596,678399
397248,130166,317279
522570,960822,295323
549110,789989,237843
360739,167258,709689
458016,597798,487380
885490,651310,164692
122092,931450,342463
787622,105981,879118
850962,829894,332144
105098,683467,777120
282726,786543,326496
304079,456170,583230
289521,408321,513877
939782,642147,879191
489471,105197,361098
772286,398136,650689
734954,401437,694545
266662,123104,852125
239133,223470,702886
321766,491419,547663
961949,440525,665940
918194,779264,451953
622629,617579,659023
490603,274397,837488
158787,253813,950998
100847,746275,653397
537354,234752,356079
760523,284322,246124
875749,522582,566128
874193,979265,372995
296113,650947,599766
867085,907340,870334
232512,341597,819939
368099,453511,529595
837828,603601,168320
610949,484173,994929
617232,569261,258641
451421,266949,616708
401024,250414,865974
921186,533412,967261
706870,599671,317112
601269,924774,870231
148936,397328,710143
272364,812224,151500
711256,948057,657864
497059,110492,324770
699559,671604,254265
751967,815629,976257
904499,347929,450421
785418,662460,879772
117741,597453,839841
311161,807395,618269
741758,155562,403211
649083,959205,801131
694900,477051,892837
635902,780261,887061
943308,600579,893182
769974,901031,727344
998192,670832,861342
565147,213202,255691
273539,380396,823917
350979,580167,803199
863578,470211,336305
684820,344032,951027
381320,542561,209519
912548,284322,571755
315036,846370,464209
249814,373526,620120
823088,258930,179370
814721,932708,932104
946571,945229,347430
193509,925795,237333
811103,908124,146933
781574,779094,483258
359085,632156,729379
675262,574886,450190
785137,533412,555728
828274,276981,469595
764102,932526,934533
461456,388488,503998
740053,905079,609636
702058,550026,496333
172711,593853,114220
377956,507791,823578
673843,839957,386599
861695,697480,525284
334975,369503,183685
455210,561354,349816
227400,605734,385309
660641,388625,714532
997755,142718,650689
339117,148337,467727
787724,383960,236809
870379,701232,463277
128414,408775,513877
483145,740880,563524
446572,935237,145812
801801,173130,138680
578445,327781,713234
692817,376033,289141
879369,658883,429958
563014,221357,339340
593212,238199,385855
648335,173130,695124
939554,296661,518854
594183,872660,930280
878092,772458,408184
835830,396091,367443
890859,410078,453388
102592,244734,829304
353876,600798,791886
516889,861430,638142
836715,884268,665940
392523,716277,615480
381462,366599,904122
869456,484741,445006
899525,261099,585668
694216,990591,154583
548371,957361,659108
309634,686219,913042
284418,515305,414961
613923,546446,737397
968443,997071,324855
789536,299654,892837
357566,251414,422814
708579,420304,134560
358989,775297,717240
934714,771339,753780
831892,119205,393562
856095,105981,371912
639427,530075,536079
562719,280251,928092
569663,794394,769729
408387,780261,427469
254677,209816,626619
781172,932663,317121
167072,136767,904122
864062,410078,397424
552744,716472,624857
452671,322907,789802
247216,509660,328385
215206,805752,775586
170451,927382,447417
166822,522582,593785
100950,394347,517975
916908,637346,233232
831500,535843,450961
218033,892647,110986
844604,938337,400296
385438,146866,906032
841069,274653,134205
423919,442051,234232
199388,412366,396472
491124,463470,342932
808366,600579,701344
966344,175724,766827
776089,818494,702492
104305,961988,180020
660870,210821,535633
177341,881773,311228
955354,222146,641632
340957,397913,675228
747432,695820,802243
547880,913532,143776
754460,608175,760158
107981,900294,298171
707329,632156,801697
884772,599291,695501
989405,130411,111288
937999,959205,385855
326958,901635,666381
159346,388488,774883
363275,511778,747809
866934,608567,908218
828942,845187,480765
976483,982294,460799
974325,740880,672030
872988,320942,794230
729627,112559,135543
701559,284322,101304
797050,796162,132555
295224,823732,410533
732691,897005,796874
689005,137921,631455
115382,541636,529595
275195,834404,346833
910720,238124,612260
717065,134638,251444
257676,511778,664290
802164,901031,892517
974170,373526,148840
940712,117271,938590
505295,377379,790958
902194,218732,528240
554093,111694,784163
542625,110492,357053
412475,765806,450168
300606,500865,868312
795626,149667,529706
513930,863271,838103
388381,985847,211593
559402,219974,345392
973783,313739,456852
181881,631268,924592
114519,943007,554834
799335,428595,932845
110769,642147,823160
985639,364945,460622
810752,232637,748973
692224,676980,467779
158296,381026,326254
440190,683751,559551
154550,466645,874239
684594,883713,752612
300602,470603,985648
755914,959205,143024
319907,802247,536079
527796,285166,331352
387522,359266,582553
246364,948525,623863
535172,278877,699097
573705,744255,122181
722440,481146,421642
569365,839957,147260
912807,726556,204927
361406,834778,172239
108825,439428,709894
795731,742040,194668
540076,913533,975078
354736,716277,114989
744300,555949,723837
655132,169161,365360
226550,928776,344734
605363,499179,429753
537187,562209,352698
495453,943306,149354
767560,499236,561132
378188,378752,217445
812252,271900,767147
791082,437022,309163
401476,683751,539381
784160,700349,863900
988905,717123,925006
302660,990591,101609
733092,151928,512103
780451,987502,445006
964514,748561,776029
975246,663727,581345
599224,920041,726818
178266,637140,179000
158436,638723,727376
678198,996822,362320
874062,813859,788287
867078,667594,623863
351547,742558,397760
676778,361116,516304
462664,184815,498377
754271,204512,350811
811617,771339,923740
637738,730814,975119
703258,126551,601472
979130,634760,520034
634602,296661,219636
422952,617821,209434
765281,610632,881601
989779,173339,131015
339737,515305,960203
688413,622611,529495
489966,231342,269071
164329,256045,447417
196970,933845,769157
703874,296090,386352
274484,134178,528240
991211,483205,769157
360816,584136,942031
865374,876847,129185
154470,242476,530447
451765,218732,586142
216810,125568,300882
778597,824019,425067
114044,733213,128721
534405,659659,714532
586816,914151,964457
869321,189526,586142
946373,901198,694962
658197,494540,374214
859731,242041,487242
766298,481146,618441
790144,562209,454526
744442,454618,945722
556258,230662,823193
109950,173711,117443
947494,786875,473245
867591,691941,773661
840835,678792,177978
627261,754922,777257
290447,500836,111155
596958,371366,499283
504717,321298,484997
574440,688356,368769
689036,873297,885327
381517,926508,716537
555008,888413,957749
771150,112559,127253
384102,683467,815085
768274,830395,284965
120545,839957,760799
862411,459808,198797
501306,505122,759576
706487,420304,478767
883121,358308,104090
945686,448934,482450
117025,240096,219543
188709,412366,772932
302946,638723,561132
799448,906205,972386
792794,753241,477824
223695,300320,469675
397328,199940,369953
344556,780014,384056
601000,858253,132391
217296,394481,225382
681933,163568,891219
569657,347641,799586
640146,890561,154200
592045,564014,416667
974297,409085,483258
212945,617821,345757
613405,204512,998565
868235,602478,296098
408609,352619,356079
377482,364007,133138
976336,886469,561132
227040,742788,278263
934196,370382,219897
589061,894256,596288
167890,686871,852482
851859,823246,616496
640329,878215,759576
151441,853276,291302
884959,327781,542521
802425,599050,628309
704485,526892,454118
658489,364147,198285
379605,662519,790760
784893,110333,655570
356334,320819,684328
441097,185470,972788
599817,299654,580911
931254,753241,846934
296216,322907,513877
603749,974553,829432
223332,167258,819689
524622,238199,591190
374417,764785,208413
447563,337092,126134
691770,932708,687232
609804,289859,160030
742153,508430,359223
901973,270388,108394
474110,977284,411028
867761,358308,611492
182846,296661,730770
122560,691584,211593
614732,475800,908218
565852,141837,145724
458524,498751,404569
566367,119205,723693
862636,351500,275655
274026,984383,627546
725540,272110,175449
677624,664834,779929
268020,392557,444878
